game,venue,city,state,roof_type,kickoff_utc,gfs_model_run,forecast_hour,time_accuracy_hrs,temp_f,feels_like_f,wind_mph,wind_dir,cloud_cover_pct,precip_in,weather_impact
Los Angeles Chargers @ San Francisco 49ers,Levi's Stadium,Santa Clara,CA,Open,2025-08-24 00:30:00+00:00,2025-08-23 18:00:00,F006,-0.5,78.5,78.4,8.5,184.0,100.0,0.0,Favorable conditions
Las Vegas Raiders @ Arizona Cardinals,State Farm Stadium,Glendale,AZ,Retractable,2025-08-24 02:00:00+00:00,2025-08-23 18:00:00,F009,1.0,73.5,73.4,13.4,72.0,100.0,0.0,Minimal impact (Indoor venue)
Baltimore Ravens @ Washington Commanders,FedExField,Landover,MD,Open,2025-08-23 16:00:00+00:00,2025-08-23 18:00:00,F000,2.0,80.1,82.1,20.2,145.0,0.0,0.0,High winds - passing game affected
Indianapolis Colts @ Cincinnati Bengals,Paycor Stadium,Cincinnati,OH,Open,2025-08-23 17:00:00+00:00,2025-08-23 18:00:00,F000,1.0,80.1,82.1,20.2,145.0,0.0,0.0,High winds - passing game affected
Los Angeles Rams @ Cleveland Browns,FirstEnergy Stadium,Cleveland,OH,Open,2025-08-23 17:00:00+00:00,2025-08-23 18:00:00,F000,1.0,86.6,83.7,7.0,198.0,0.0,0.0,Favorable conditions
Houston Texans @ Detroit Lions,Ford Field,Detroit,MI,Closed,2025-08-23 17:00:00+00:00,2025-08-23 18:00:00,F000,1.0,76.7,76.7,5.2,208.0,0.0,0.0,Minimal impact (Indoor venue)
Denver Broncos @ New Orleans Saints,Caesars Superdome,New Orleans,LA,Closed,2025-08-23 17:00:00+00:00,2025-08-23 18:00:00,F000,1.0,100.8,95.3,11.1,98.0,0.0,0.0,Minimal impact (Indoor venue)
Seattle Seahawks @ Green Bay Packers,Lambeau Field,Green Bay,WI,Open,2025-08-23 20:00:00+00:00,2025-08-23 18:00:00,F003,1.0,66.9,66.8,4.1,41.0,100.0,0.0,Favorable conditions
Jacksonville Jaguars @ Miami Dolphins,Hard Rock Stadium,Miami Gardens,FL,Retractable,2025-08-23 23:00:00+00:00,2025-08-23 18:00:00,F006,1.0,98.8,93.5,20.5,52.0,0.0,0.0,Minimal impact (Indoor venue)
Buffalo Bills @ Tampa Bay Buccaneers,Raymond James Stadium,Tampa,FL,Open,2025-08-23 23:30:00+00:00,2025-08-23 18:00:00,F006,0.5,95.6,90.6,18.0,62.0,0.0,0.0,Very hot conditions; Moderate winds - kicking affected
Pittsburgh Steelers @ Carolina Panthers,Bank of America Stadium,Charlotte,NC,Open,2025-08-21 23:00:00+00:00,2025-08-23 18:00:00,F000,43.0,84.6,82.7,8.3,341.0,100.0,0.0,Favorable conditions
New England Patriots @ New York Giants,MetLife Stadium,East Rutherford,NJ,Open,2025-08-22 00:00:00+00:00,2025-08-23 18:00:00,F000,42.0,75.2,75.3,7.8,135.0,4.0,0.01,Favorable conditions
Philadelphia Eagles @ New York Jets,MetLife Stadium,East Rutherford,NJ,Open,2025-08-22 23:30:00+00:00,2025-08-23 18:00:00,F000,18.5,75.2,75.3,7.8,135.0,4.0,0.01,Favorable conditions
Atlanta Falcons @ Dallas Cowboys,AT&T Stadium,Arlington,TX,Retractable,2025-08-23 00:00:00+00:00,2025-08-23 18:00:00,F000,18.0,95.2,90.4,7.4,192.0,76.0,0.0,Minimal impact (Indoor venue)
Minnesota Vikings @ Tennessee Titans,Nissan Stadium,Nashville,TN,Open,2025-08-23 00:00:00+00:00,2025-08-23 18:00:00,F000,18.0,77.7,77.8,11.5,50.0,100.0,0.0,Favorable conditions
Chicago Bears @ Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Kansas City,MO,Open,2025-08-23 00:20:00+00:00,2025-08-23 18:00:00,F000,17.7,80.1,82.1,20.2,145.0,0.0,0.0,High winds - passing game affected
